"","title","year","length","budget","rating","votes","mpaa","genre"
"244539","Chantons sous l'occupation",1976,95,NA,7.9,6,"","Documentary"
"244548","Chaplin's Goliath",1996,54,NA,8,8,"","Documentary"
"244549","Chaplinesque, My Life and Hard Times",1972,56,NA,8,6,"","Documentary"
"244571","Charles Mingus: Triumph of the Underdog",1998,78,NA,6.2,22,"","Documentary"
"244576","Charleston Chain Gang",1902,1,NA,3.7,7,"","Documentary"
"244631","Charlie: The Life and Art of Charles Chaplin",2003,132,NA,7.4,142,"","Documentary"
"244680","Chasing the Edge",2004,15,0,9.2,10,"","Documentary"
"244713","Che, El",1997,88,NA,6.8,25,"","Documentary"
"244744","Cheerleader",2003,24,5500,8.8,8,"","Documentary"
"244757","Chef!",1999,61,NA,5.1,13,"","Documentary"
"244765","Chelovek s kinoapparatom",1929,68,NA,7.9,1199,"","Documentary"
"244798","Chernobyl Heart",2003,39,NA,8.9,53,"","Documentary"
"244835","Chia e tazi pesen?",2003,70,NA,7,18,"","Documentary"
"244851","Chicago Filmmakers on the Chicago River",1998,77,NA,8.1,17,"","Documentary"
"244870","Chicken Ranch",1983,74,NA,5.7,30,"","Documentary"
"244878","Chicken of Tomorrow, The",1948,20,NA,3,40,"","Documentary"
"244881","Chicks in White Satin",1994,25,NA,5.3,7,"","Documentary"
"244934","Children Underground",2000,104,NA,8.3,165,"","Documentary"
"244936","Children of Chabannes, The",1999,93,NA,8.5,17,"","Documentary"
"244938","Children of Leningradsky, The",2005,35,NA,8.2,19,"","Documentary"
"244942","Children of Theatre Street, The",1977,90,NA,7.8,18,"","Documentary"
"244959","Chile, la memoria obstinada",1997,52,NA,7.1,46,"","Documentary"
"244976","Chimps onder elkaar",1984,55,NA,7.9,8,"","Documentary"
"244985","China Dolls",1997,30,NA,7.7,5,"","Documentary"
"245038","Chisholm '72: Unbought & Unbossed",2004,76,NA,7.4,29,"","Documentary"
"245048","Chlebnyy den",1998,55,NA,8.1,12,"","Documentary"
"245070","Choke",1999,98,550000,5.6,68,"","Documentary"
"245083","Chop Suey",2001,98,NA,6.3,84,"","Documentary"
"245092","Chords of Fame",1984,88,NA,9.6,5,"","Documentary"
"245099","Choropampa, el precio de oro",2002,65,NA,8.1,6,"","Documentary"
"245121","Christiania",1977,87,NA,5.2,5,"","Documentary"
"245153","Christmas on Earth",1963,29,NA,1.1,19,"","Documentary"
"245155","Christo in Paris",1990,58,NA,7.6,10,"","Documentary"
"245156","Christo's Valley Curtain",1973,28,NA,7.8,12,"","Documentary"
"245169","Chronos",1985,40,NA,7.5,107,"","Documentary"
"245170","Chronotrip",2002,74,10000,4,6,"","Documentary"
"245181","Chuck Amuck: The Movie",1991,51,NA,7.9,7,"","Documentary"
"245182","Chuck Berry Hail! Hail! Rock 'n' Roll",1987,120,NA,6.9,167,"","Documentary"
"245191","Chulas Fronteras",1976,58,NA,7.1,11,"","Documentary"
"245196","Chung Kuo - Cina",1972,134,NA,7.2,18,"","Documentary"
"245209","Churchill's Island",1941,21,NA,8,14,"","Documentary"
"245232","Ciao, Federico!",1971,55,NA,6.6,22,"","Documentary"
"245246","Ciel et la boue, Le",1961,92,NA,6.8,42,"","Documentary"
"245253","Cielo gira, El",2004,115,NA,6.3,11,"","Documentary"
"245261","Cigarette Blues",1985,6,NA,6,8,"","Documentary"
"245271","Cincinnati: Just Around the Corner",2003,30,NA,8.6,8,"","Documentary"
"245286","Cineasta da Selva, O",1997,87,NA,7.7,8,"","Documentary"
"245289","Cinema of Unease: A Personal Journey by Sam Neill",1995,52,NA,6.5,41,"","Documentary"
"245290","Cinemania",2002,54,NA,7.2,449,"","Documentary"
"245291","Cinematographer, The",1951,10,NA,6.7,7,"","Documentary"
"245292","Cinerama Adventure",2002,93,NA,8.6,25,"","Documentary"
"245293","Cinerama Holiday",1955,119,NA,6.1,11,"","Documentary"
"245332","Circus Redickuless",1997,88,NA,7.8,5,"","Documentary"
"245359","Citizen Black",2004,88,NA,7.8,9,"","Documentary"
"245363","Citizen Langlois",1994,65,NA,5.9,9,"","Documentary"
"245365","Citizen Shane",2004,59,4000,5,10,"","Documentary"
"245379","City Life",1990,251,NA,4.7,13,"","Documentary"
"245392","City at Peace",1998,95,NA,3.5,13,"","Documentary"
"245401","City of Gold",1957,22,NA,6.9,22,"","Documentary"
"245405","City of Little Men, The",1938,11,NA,5.6,12,"","Documentary"
"245450","Claremont Theatre, N.Y.",1915,4,NA,3.3,9,"","Documentary"
"245472","Class of 83",2004,50,25000,9.6,20,"","Documentary"
"245481","Claude Jutra, portrait sur film",2002,82,NA,7.2,18,"","Documentary"
"245482","Claude Sautet ou La magie invisible",2003,85,NA,7.6,9,"","Documentary"
"245495","Clay Fields",2003,93,NA,5.4,6,"","Documentary"
"245507","Cleaning Up!",2002,78,NA,7.9,7,"","Documentary"
"245581","Closer",2000,20,NA,8.7,6,"","Documentary"
"245582","Closer She Gets, The",2005,99,NA,9,9,"","Documentary"
"245596","Clouds: Letters to My Son",2001,76,NA,5.4,38,"","Documentary"
"245598","Clown",1969,11,NA,9.8,6,"","Documentary"
"245603","Clown in Kabul",2002,58,NA,6.8,11,"","Documentary"
"245631","Clues to Adventure",1949,11,NA,5.5,6,"","Documentary"
"245639","Coal Face",1935,11,NA,5.7,21,"","Documentary"
"245662","Cochon, Le",1970,50,NA,6.2,5,"","Documentary"
"245669","Cockettes, The",2002,100,300000,6.6,177,"R","Documentary"
"245673","Cockfight",2001,45,NA,7.9,12,"R","Documentary"
"245677","Cocksucker Blues",1972,93,NA,5.9,74,"","Documentary"
"245716","Coffee, Tea or Me?",2002,70,NA,6.4,5,"","Documentary"
"245731","Cola Conquest, The",1998,50,NA,8,18,"","Documentary"
"245772","Colette",1952,21,NA,5.4,6,"","Documentary"
"245779","Collateral Damages",2003,67,NA,6.9,6,"","Documentary"
"245784","Collector of Bedford Street, The",2002,36,NA,7.7,18,"","Documentary"
"245804","Cologne",1939,14,NA,6.7,18,"","Documentary"
"245813","Color Adjustment",1991,86,NA,6.5,32,"","Documentary"
"245824","Colorado Cowboy: The Bruce Ford Story",1994,76,NA,4.3,12,"","Documentary"
"245858","Comandante",2003,99,NA,6.3,454,"","Documentary"
"245864","Combat America",1943,62,NA,6.4,13,"","Documentary"
"245874","Come Back, Africa",1960,95,NA,6.9,19,"","Documentary"
"245915","Comeback, The",1980,78,NA,1.9,29,"","Documentary"
"245916","Comedian",2002,82,NA,7,1566,"","Documentary"
"245918","Comedians in Africa, The",1967,11,NA,6.8,27,"","Documentary"
"245919","Comedians of Comedy, The",2005,103,500000,8.8,8,"","Documentary"
"245935","Comic Book Confidential",1988,90,NA,6.5,113,"","Documentary"
"245945","Coming Out Under Fire",1994,72,NA,5.2,28,"","Documentary"
"245994","Commode Creations: The Artwork of Barney Smith",2004,21,NA,7.7,6,"","Documentary"
"246023","Company Jasmine",2001,55,150000,8.4,47,"","Documentary"
"246033","Complaints of a Dutiful Daughter",1994,44,NA,7.1,19,"","Documentary"
"246034","Compleat Beatles, The",1984,119,NA,7.9,352,"","Documentary"
"246070","Concert for Bangladesh, The",1972,95,NA,7.7,82,"","Documentary"
"246072","Concert of Wills: Making the Getty Center",1997,100,NA,6,5,"","Documentary"
"246116","Confessions of Robert Crumb, The",1987,55,NA,7.7,19,"","Documentary"
"246117","Confessions of a Burning Man",2003,83,NA,4.7,23,"","Documentary"
"246134","Confetti Brothers, The",2001,28,NA,7,11,"","Documentary"
"246176","Conquest of Everest, The",1953,78,NA,7.3,18,"","Documentary"
"246206","Constant Forge, A",2000,200,NA,7.8,19,"","Documentary"
"246211","Constellation Jodorowsky, La",1994,91,NA,7.2,48,"","Documentary"
"246242","Control Room",2004,57,NA,8,1453,"","Documentary"
"246254","Conversation with Gregory Peck, A",1999,97,NA,6.5,51,"","Documentary"
"246255","Conversation with Haris, A",2002,6,NA,7.8,6,"","Documentary"
"246346","Coral Reef Adventure",2003,45,10000000,6.2,65,"","Documentary"
"246371","Corner's",2002,66,NA,8.6,10,"","Documentary"
"246392","Corporation, The",2003,150,NA,8.4,2106,"","Documentary"
"246431","Cosa, La",1990,60,NA,6.9,24,"","Documentary"
"246443","Cosmic Voyage",1996,35,NA,7.1,96,"","Documentary"
"246444","Cosmic Zoom",1968,8,NA,7.4,15,"","Documentary"
"246446","Cosmos",1974,33,NA,6.9,23,"","Documentary"
"246454","Costume Designer, The",1950,9,NA,6.1,6,"","Documentary"
"246518","Coup",1999,158,NA,5.4,31,"","Documentary"
"246554","Cousin Bobby",1992,70,NA,6.3,39,"","Documentary"
"246573","Cover Up",1988,72,NA,7.3,47,"","Documentary"
"246578","Covered with Chocolate",2001,1,NA,7.3,11,"","Documentary"
"246598","Cowboy, The",1954,69,NA,3.1,5,"","Documentary"
"246653","Crash Fans",2003,70,NA,8.3,7,"","Documentary"
"246666","Cravan vs. Cravan",2002,100,NA,7.5,15,"","Documentary"
"246683","Crazy Legs Conti: Zen and the Art of Competitive Eating",2004,75,NA,5.6,16,"","Documentary"
"246700","Crazy World of Laurel and Hardy, The",1967,83,NA,6.8,13,"","Documentary"
"246708","Cream Will Rise, The",1998,90,NA,7.2,25,"","Documentary"
"246709","Cream's Farewell Concert",1969,50,NA,7.5,25,"","Documentary"
"246712","Creative Process: Norman McLaren",1990,117,NA,8.5,14,"","Documentary"
"246716","Creature",1999,76,NA,5.9,26,"","Documentary"
"246814","Criminals",1996,73,NA,5.6,6,"","Documentary"
"246833","Crisis: Behind a Presidential Commitment",1963,52,NA,8.5,25,"","Documentary"
"246851","Crni film",1971,17,NA,5.3,6,"","Documentary"
"246880","Crop Circles: Quest for Truth",2002,115,750000,7.2,66,"","Documentary"
"246948","Cruise of the Zaca",1952,20,NA,5.8,27,"","Documentary"
"246953","Crumb",1994,119,NA,7.6,3528,"","Documentary"
"246970","Cry From the Grave, A",1999,150,NA,8,19,"","Documentary"
"246988","Cry of Jazz",1959,34,NA,7.6,5,"","Documentary"
"247006","Crystal Voyager",1975,78,NA,4.6,38,"","Documentary"
"247012","Cuadecuc, vampir",1970,70,NA,3.8,11,"","Documentary"
"247022","Cuba feliz",2000,96,NA,5.6,37,"","Documentary"
"247056","Cul de Sac: A Suburban War Story",2002,55,NA,6.2,24,"","Documentary"
"247069","Cumhuriyet",1998,150,NA,8.1,14,"","Documentary"
"247071","Cunnamulla",2000,82,NA,6.7,63,"","Documentary"
"247075","Cuore napoletano",2002,94,NA,6,8,"","Documentary"
"247087","Cure Show, The",1993,90,NA,6.4,47,"","Documentary"
"247093","Cure in Orange, The",1987,113,NA,8,66,"","Documentary"
"247119","Curse of the Dragon",1993,90,NA,6.9,95,"","Documentary"
"247161","Cutting Edge: The Magic of Movie Editing, The",2004,98,NA,5.6,73,"","Documentary"
"247176","Cyberman",2001,87,NA,5.2,17,"","Documentary"
"247204","Czechoslovakia 1968",1969,20,NA,6.3,5,"","Documentary"
"247216","D'Est",1993,110,NA,5,32,"","Documentary"
"247217","D-Day Remembered",1994,54,NA,9.4,16,"","Documentary"
"247228","D.I.Y. or Die: How to Survive as an Independent Artist",2002,55,5000,9.4,10,"","Documentary"
"247230","D.O.A.",1980,95,NA,6.9,133,"","Documentary"
"247232","D.W. Griffith: Father of Film",1993,155,NA,7.7,11,"","Documentary"
"247281","Daddy and Papa",2002,57,NA,8,28,"","Documentary"
"247283","Daddy and the Muscle Academy",1992,55,NA,6.1,27,"","Documentary"
"247321","Daguerreotypes",1978,80,NA,5.9,10,"","Documentary"
"247327","Dahucapra rupidahu",2004,7,NA,7,5,"","Documentary"
"247334","Daily Beauty Rituals",1937,5,NA,5,9,"","Documentary"
"247341","Daisy: The Story of a Facelift",1982,58,NA,6.4,7,"","Documentary"
"247366","Dallas",1985,9,NA,5.6,5,"","Documentary"
"247391","Dame la mano",2004,112,NA,4.7,8,"","Documentary"
"247395","Damen und Herren ab 65",2002,70,NA,7.8,7,"","Documentary"
"247410","Damned in the U.S.A.",1991,68,NA,5.5,24,"","Documentary"
"247441","Dancemaker",1998,98,NA,7.1,35,"","Documentary"
"247447","Dances Sacred and Profane",1987,90,NA,8.2,7,"","Documentary"
"247475","Dandy",1987,93,NA,4.2,24,"","Documentary"
"247542","Dangerous World of 'Deliverance', The",1972,10,NA,6.7,11,"","Documentary"
"247550","Dani, Michi, Renato & Max",1987,138,NA,9.1,7,"","Documentary"
"247573","Dans, Grozny dans",2003,75,NA,5.9,22,"","Documentary"
"247576","Dansk sexualitet",1969,75,15000,2.4,6,"","Documentary"
"247605","Dario Argento: Master of Horror",1991,60,NA,3.1,21,"","Documentary"
"247616","Dark Circle",1983,82,NA,6.5,6,"","Documentary"
"247625","Dark Days",2000,84,NA,7.5,786,"","Documentary"
"247660","Dark Shadows Bloopers",1993,45,NA,7.6,11,"","Documentary"
"247662","Dark Side of Hollywood, The",1998,54,NA,6.5,10,"","Documentary"
"247687","Darker Side of Black, The",1993,55,NA,5.3,9,"","Documentary"
"247698","Darkness at High Noon: The Carl Foreman Documents",2002,120,NA,3.8,19,"","Documentary"
"247714","Darwin's Nightmare",2004,107,NA,7.6,138,"","Documentary"
"247715","Das Bus",2003,94,NA,6.4,11,"","Documentary"
"247730","Date with Your Family, A",1950,10,NA,2.1,74,"","Documentary"
"247742","Daughter From Danang",2002,83,NA,7.8,152,"","Documentary"
"247743","Daughter Rite",1979,49,NA,2.9,17,"","Documentary"
"247749","Daughter of Suicide",2000,72,NA,1.9,5,"","Documentary"
"247762","David Cronenberg: I Have to Make the World Be Flesh",1999,68,NA,7.1,33,"","Documentary"
"247775","David, Moffett, and Ornette: The Ornette Coleman Trio",1966,26,NA,8.6,5,"","Documentary"
"247800","Day After Trinity, The",1980,88,NA,7.1,56,"","Documentary"
"247803","Day I Will Never Forget, The",2002,90,NA,7.7,27,"","Documentary"
"247815","Day at the Fair, A",1947,10,NA,2.2,27,"","Documentary"
"247820","Day in the Life of a Coal Miner, A",1910,9,NA,6.4,21,"","Documentary"
"247830","Day of the Dead",1957,15,NA,3,11,"","Documentary"
"247834","Day of the Fight",1951,16,3900,6.1,272,"","Documentary"
"247843","Day on Treasure Island, A",1939,10,NA,6,6,"","Documentary"
"247860","Daybreak Express",1953,5,NA,7.6,32,"","Documentary"
"247868","Days of Fury",1978,91,NA,6.4,9,"","Documentary"
"247872","Days of Our Years, The",1955,20,NA,3,32,"","Documentary"
"247873","Days of Thrills and Laughter",1961,93,NA,7.5,46,"","Documentary"
"247896","De nens",2004,180,NA,9,5,"","Documentary"
"247911","Dead Birds",1965,85,NA,7.3,27,"","Documentary"
"247929","Dead End Kids",1986,87,NA,5.9,58,"","Documentary"
"248031","Deadly Currents",1991,115,NA,7.7,10,"","Documentary"
"248102","Dear Diary: A Film About Female Puberty",1981,26,NA,6.1,6,"","Documentary"
"248108","Dear Jesse",1998,82,NA,7,73,"","Documentary"
"248149","Death Mills",1945,22,NA,8.3,5,"","Documentary"
"248153","Death Riders",1976,88,NA,1,7,"","Documentary"
"248179","Death by Design: Where Parallel Worlds Meet",1997,70,NA,9.3,10,"","Documentary"
"248181","Death by Misadventure",1993,92,NA,6.3,23,"","Documentary"
"248184","Death in Gaza",2004,80,NA,8.1,152,"","Documentary"
"248194","Death of a Nation: The Timor Conspiracy",1994,60,NA,7,16,"","Documentary"
"248207","Death: A Love Story",1999,64,NA,7.4,7,"","Documentary"
"248234","Decade Under the Influence, A",2003,108,NA,7,311,"R","Documentary"
"248235","Decade for Decision",1957,15,NA,3.7,9,"","Documentary"
"248246","December 7th",1943,82,NA,5.8,79,"","Documentary"
"248261","Decline of Western Civilization Part II: The Metal Years, The",1988,93,500000,6.6,297,"","Documentary"
"248262","Decline of Western Civilization Part III, The",1998,86,NA,5.2,38,"","Documentary"
"248263","Decline of Western Civilization, The",1981,100,100000,7.3,296,"","Documentary"
"248276","Deep Blue",2003,91,5000000,7.2,363,"","Documentary"
"248279","Deep Blues",1991,91,NA,5.6,28,"","Documentary"
"248291","Deep Inside Annie Sprinkle",1981,97,NA,5,30,"","Documentary"
"248315","Defending Our Lives",1993,30,NA,8.2,5,"","Documentary"
"248323","Defilada",1989,60,NA,9.9,8,"","Documentary"
"248335","Del olvido al no me acuerdo",1999,75,NA,7.4,26,"","Documentary"
"248418","Demoiselles ont eu 25 ans, Les",1993,64,NA,7,18,"","Documentary"
"248420","Demolishing and Building Up the Star Theatre",1901,2,NA,6.7,36,"","Documentary"
"248427","Demon Lover Diary",1980,90,NA,2.6,49,"","Documentary"
"248449","Demystifying the Devil: Biography Marilyn Manson",2000,90,NA,4.8,34,"","Documentary"
"248463","Denk ich an Deutschland - Herr Wichmann von der CDU",2003,80,NA,7.8,68,"","Documentary"
"248495","Derailroaded",2005,86,NA,8.3,6,"","Documentary"
"248499","Derby",1971,96,NA,5.9,10,"","Documentary"
"248518","Dernier trappeur, Le",2004,94,NA,7,58,"","Documentary"
"248522","Derrida",2002,84,NA,6.5,133,"","Documentary"
"248534","Des morts",1981,105,NA,4.2,13,"","Documentary"
"248545","Desencanto, El",1976,97,NA,9,54,"","Documentary"
"248552","Desert Dogs",2001,42,NA,8.7,7,"","Documentary"
"248568","Desert Regatta",1932,10,NA,4.5,15,"","Documentary"
"248575","Desert Victory",1943,60,NA,7.8,32,"","Documentary"
"248634","Desperate Man Blues",2003,52,NA,6.2,15,"","Documentary"
"248668","Destiny in Space",1994,40,NA,6,60,"","Documentary"
"248719","Deuda",2004,90,NA,6.5,31,"","Documentary"
"248728","Deutsche Polizisten: Viele Kulturen - Eine Truppe",1999,60,NA,8.7,19,"","Documentary"
"248730","Deutschen Volke, Dem",1996,98,NA,8.9,8,"","Documentary"
"248732","Deutschland im Herbst",1978,134,NA,7.2,138,"","Documentary"
"248780","Devil You Know: Inside the Mind of Todd McFarlane, The",2001,44,NA,4.9,30,"","Documentary"
"248781","Devil and Daniel Johnston, The",2005,109,NA,8.1,38,"","Documentary"
"248792","Devil in the Holy Water, The",2002,95,NA,6.2,6,"","Documentary"
"248816","Devil's Miner, The",2005,82,NA,8.3,6,"","Documentary"
"248819","Devil's Playground",2002,77,NA,7.3,428,"","Documentary"
"248826","Devil's Triangle, The",1974,52,NA,5.8,28,"","Documentary"
"248847","Dexterity",1937,9,NA,6.5,7,"","Documentary"
"248849","Deza-Femijet (Kosovo 2000)",2001,90,NA,6.4,15,"","Documentary"
"248850","Dezember, 1-31",1999,97,NA,4.6,13,"","Documentary"
"248862","Di Cavalcanti",1977,18,NA,5.6,13,"","Documentary"
"248865","DiG!",2004,107,NA,8,350,"R","Documentary"
"248877","Diablo nunca duerme, El",1994,87,NA,7.4,8,"","Documentary"
"248892","Dial H-I-S-T-O-R-Y",1998,68,NA,7.8,19,"","Documentary"
"248896","Dialogo di Roma, Il",1982,62,NA,5.3,6,"","Documentary"
"248915","Diamonds and Rust",2001,73,NA,8,6,"","Documentary"
"248925","Diaries, Notebooks and Sketches",1969,177,NA,6.4,12,"","Documentary"
"248928","Diario di una siciliana ribelle",1997,56,NA,3.3,20,"","Documentary"
"248933","Diary for Timothy, A",1945,40,NA,6.8,35,"","Documentary"
"248953","Dice Rules",1991,88,NA,4.6,176,"","Documentary"
"248974","Did Anyone Notice Us? Gay Visibility in the Irish Media 1973-1993",2003,74,NA,2.8,7,"","Documentary"
"248981","Didn't Do It for Love",1997,81,NA,3.3,15,"","Documentary"
"249003","Dieses Jahr in Czernowitz",2004,134,NA,9.1,14,"","Documentary"
"249042","Dildo Diaries",2002,63,NA,8.6,30,"","Documentary"
"249107","Diplomat, The",2000,52,NA,8.1,6,"","Documentary"
"249117","Direct Order",2003,55,500000,5.8,6,"","Documentary"
"249118","Directed by John Ford",1971,99,NA,5.3,59,"","Documentary"
"249119","Directed by William Wyler",1986,60,NA,7.7,135,"","Documentary"
"249128","Dirt",1979,95,NA,5.8,7,"","Documentary"
"249138","Dirty Dancing Concert Tour",1988,87,NA,3.5,15,"","Documentary"
"249150","Dirty Harry's Way",1971,7,NA,5.8,13,"","Documentary"
"249191","Discovering Hamlet",1990,53,NA,4.3,8,"","Documentary"
"249235","Distributing a War Extra",1899,1,NA,3.6,9,"","Documentary"
"249248","Divan",2003,90,NA,6.2,28,"","Documentary"
"249253","Divide and Conquer",1943,57,NA,7.3,64,"","Documentary"
"249255","Divided Highways: The Interstates and the Transformation of American Life",1997,87,NA,9,7,"","Documentary"
"249263","Divine Horsemen: The Living Gods of Haiti",1985,52,NA,5.8,18,"","Documentary"
"249269","Divine Trash",1998,97,NA,7.1,203,"","Documentary"
"249270","Divine Waters",1985,110,NA,5.6,10,"","Documentary"
"249271","Divine carcasse",1998,88,NA,5.5,22,"","Documentary"
"249276","Divorce Iranian Style",1998,80,NA,7,38,"","Documentary"
"249287","Dix minutes de silence pour John Lennon",1980,10,NA,8.3,14,"","Documentary"
"249288","Dix-sept ans",2003,83,NA,6,7,"","Documentary"
"249326","Do It",2000,97,NA,6.1,19,"","Documentary"
"249334","Do You Remember Laurie Zimmer?",2003,54,NA,7.6,7,"","Documentary"
"249335","Do You Remember the First Time?",1994,26,NA,8.5,6,"","Documentary"
"249405","Document of the Dead",1989,84,NA,5.2,135,"","Documentary"
"249406","Documentary on the Making of 'Gore Vidal's Caligula', A",1981,56,NA,3.7,20,"","Documentary"
"249465","Dogora - Ouvrons les yeux",2004,80,NA,6.4,24,"","Documentary"
"249478","Dogtown and Z-Boys",2001,91,NA,7.4,1555,"PG-13","Documentary"
"249481","Dogville Confessions",2003,52,NA,3.6,180,"","Documentary"
"249495","Doing Time, Doing Vipassana",1997,52,NA,9.6,5,"","Documentary"
"249509","Dokument Fanny och Alexander",1986,110,NA,8,124,"","Documentary"
"249514","Dolce",2000,61,NA,5.5,27,"","Documentary"
"249542","Dolphins",2000,40,NA,7.3,107,"","Documentary"
"249547","Dom kallar oss mods",1968,100,NA,7.2,159,"","Documentary"
"249555","Domeinen Ditvoorst, De",1992,112,NA,5.5,5,"","Documentary"
"249561","Domestic Violence",2001,196,NA,7,33,"","Documentary"
"249562","Domestic Violence 2",2002,160,NA,7.3,16,"","Documentary"
"249566","Dominans",1994,38,NA,4.4,7,"","Documentary"
"249670","Donald Cammell: The Ultimate Performance",1998,75,NA,7,32,"","Documentary"
"249676","Donald in Mathmagic Land",1959,27,NA,7.9,239,"","Documentary"
"249724","Donna nel mondo, La",1963,110,NA,5.6,31,"","Documentary"
"249738","Dont Look Back",1967,96,NA,7.5,1026,"","Documentary"
"249750","Doomed to Failure",2004,7,1000,7.8,9,"","Documentary"
"249782","Doroga k zvezdam",1958,48,NA,6,37,"","Documentary"
"249808","Dot",2002,92,NA,6.3,35,"","Documentary"
"249835","Double Dare",2004,81,NA,4.6,142,"","Documentary"
"249895","Doulaye, une saison des pluies",2000,80,NA,6.3,9,"","Documentary"
"249897","Douro, Faina Fluvial",1931,18,NA,7.5,27,"","Documentary"
"249915","Down From the Mountain",2000,98,NA,6.9,193,"","Documentary"
"249928","Down and Out in America",1986,57,NA,6,14,"","Documentary"
"249955","Downtown Switzerland",2004,94,NA,6.8,11,"","Documentary"
"250088","Dream Comes True, A",1935,8,NA,6.5,38,"","Documentary"
"250089","Dream Deceivers: The Story Behind James Vance Vs. Judas Priest",1992,60,NA,6.1,27,"","Documentary"
"250093","Dream Girls",1994,50,NA,6.7,11,"","Documentary"
"250095","Dream Is Alive, The",1985,37,NA,7.8,107,"","Documentary"
"250112","Dream on Silly Dreamer",2005,40,65000,7.7,13,"","Documentary"
"250129","Dreamland: A History of Early Canadian Movies 1895-1939",1974,86,NA,8.4,6,"","Documentary"
"250168","Drifters",1929,49,NA,7.6,21,"","Documentary"
"250192","Drive-In Madness!",1987,60,NA,2.4,17,"","Documentary"
"250194","Drive-by Shooting",1994,120,NA,9.8,8,"","Documentary"
"250195","Drive-in Movie Memories",2001,57,225000,8.3,6,"","Documentary"
"250202","Driving Cattle to Pasture",1904,1,NA,3.3,6,"","Documentary"
"250223","Drowned Out",2002,75,NA,7.1,6,"","Documentary"
"250229","Drowning in Dreams",1997,72,NA,2.7,18,"","Documentary"
"250314","Ducktators",1997,46,NA,6.6,10,"","Documentary"
"250325","Due Kennedy, I",1969,121,NA,6,8,"","Documentary"
"250354","Duel",1969,1,NA,8,6,"","Documentary"
"250366","Duende y misterio del flamenco",1952,110,NA,5.4,5,"","Documentary"
"250376","Dukhovnyye golosa. Iz dnevnikov voyny. Povestvovanie v pyati chastyakh",1995,328,NA,7.8,14,"","Documentary"
"250397","Dummy Doc",1993,5,NA,6.6,6,"","Documentary"
"250442","Dust to Glory",2005,97,NA,7.6,57,"PG","Documentary"
"250460","Dva kapitana II",1993,70,NA,7.1,28,"","Documentary"
"250473","Dworzec",1980,14,NA,4,11,"","Documentary"
"250480","Dying at Grace",2003,148,NA,8.4,29,"","Documentary"
"250498","DysFunktional Family",2003,89,3000000,5.6,207,"R","Documentary"
"250542","Early Amateur Sound Film",1937,4,NA,6.2,7,"","Documentary"
"250547","Early Sports Quiz: What's Your I.Q. No. 13",1947,9,NA,5.3,8,"","Documentary"
"250570","East Side Story",1997,78,NA,7.2,70,"","Documentary"
"250602","Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood",2003,119,NA,7.1,307,"","Documentary"
"250614","Eat This New York",2004,80,NA,5.9,14,"","Documentary"
"250620","Eat the Document",1972,54,NA,6.9,35,"","Documentary"
"250640","Ebba the Movie",1982,78,NA,6.5,35,"","Documentary"
"250669","Ed",1999,11,NA,3.1,23,"","Documentary"
"250702","Edgeplay",2004,110,80000,7.2,17,"","Documentary"
"250720","Education of Gore Vidal, The",2003,84,NA,6.3,14,"","Documentary"
"250724","Edward Said: The Last Interview",2004,120,NA,9.4,5,"","Documentary"
"250761","Ei ist eine geschissene Gottesgabe, Das",1993,90,NA,8.4,15,"","Documentary"
"250763","Eich Hifsakti L'fahed V'lamadeti L'ehov et Arik Sharon",1997,61,NA,8.2,6,"","Documentary"
"250800","Einstein on the Beach: The Changing Image of Opera",1986,58,NA,7.1,13,"","Documentary"
"250829","El Perro Negro: Stories from the Spanish Civil War",2005,84,NA,5.6,5,"","Documentary"
"250830","El Salvador: Another Vietnam",1981,53,NA,6.1,7,"","Documentary"
"250840","Eleanor Roosevelt Story, The",1965,90,NA,7.5,10,"","Documentary"
"250844","Electric Boogie",1983,30,NA,5.5,6,"","Documentary"
"250850","Electrical Power",1938,10,NA,5.8,7,"","Documentary"
"250851","Electrocuting an Elephant",1903,1,NA,4.3,79,"","Documentary"
"250857","Elegiya",1985,30,NA,9,7,"","Documentary"
"250881","Elia Kazan: A Director's Journey",1995,75,NA,7,7,"","Documentary"
"250927","Elsewhere",2001,240,NA,8.5,30,"","Documentary"
"250937","Elvis & June: A Love Story",2002,46,NA,1,8,"","Documentary"
"250941","Elvis In Hollywood",1993,60,NA,2.5,20,"","Documentary"
"250945","Elvis On Tour",1972,93,NA,6,219,"","Documentary"
"250950","Elvis: That's the Way It Is",1970,94,NA,7,422,"PG","Documentary"
"251003","Emmanuel's Gift",2005,80,NA,6.7,7,"","Documentary"
"251038","Empire",1964,485,NA,5.5,46,"","Documentary"
"251045","Empire of the Air: The Men Who Made Radio",1991,100,NA,8.2,54,"","Documentary"
"251064","En attendant la cigogne",1997,16,NA,9.2,5,"","Documentary"
"251103","Enan no musume",2001,120,NA,7.2,6,"","Documentary"
"251140","End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",2004,78,60000,7.6,42,"","Documentary"
"251144","End of the Century",2003,110,NA,7.7,240,"","Documentary"
"251158","End, The",2000,41,NA,8.1,42,"","Documentary"
"251167","Endless Summer 2, The",1994,109,NA,7,435,"","Documentary"
"251168","Endless Summer, The",1966,95,NA,7.3,580,"","Documentary"
